"seed","n","dgp","seed_cell_master","rng_kind","seed_data_hash","seed_fit_hash","model_seed_propensity","model_seed_mvbcf","model_seed_bcf1","model_seed_bcf2","model_seed_bart1","model_seed_bart2","model_seed_mvbart","fit_seconds_mvbcf","fit_seconds_bcf1","fit_seconds_bcf2","fit_seconds_bart1","fit_seconds_bart2","fit_seconds_mvbart","converged_flag","error_message","hostname","git_sha","session_hash","seq_phase","replication_seconds","mvbcf_pehe1","mvbcf_pehe2","mvbcf_bias1","mvbcf_bias2","mvbcf_ate1","mvbcf_ate2","mvbcf_crmse1","mvbcf_crmse2","mvbcf_atesq1","mvbcf_atesq2","mvbcf_crps1","mvbcf_crps2","mvbcf_cov501","mvbcf_cov951","mvbcf_cov502","mvbcf_cov952","mvbcf_wid501","mvbcf_wid951","mvbcf_wid502","mvbcf_wid952","bcf_pehe1","bcf_pehe2","bcf_bias1","bcf_bias2","bcf_ate1","bcf_ate2","bcf_crmse1","bcf_crmse2","bcf_atesq1","bcf_atesq2","bcf_crps1","bcf_crps2","bcf_cov501","bcf_cov951","bcf_cov502","bcf_cov952","bcf_wid501","bcf_wid951","bcf_wid502","bcf_wid952","bart_pehe1","bart_pehe2","bart_bias1","bart_bias2","bart_ate1","bart_ate2","bart_crmse1","bart_crmse2","bart_atesq1","bart_atesq2","bart_crps1","bart_crps2","bart_cov501","bart_cov951","bart_cov502","bart_cov952","bart_wid501","bart_wid951","bart_wid502","bart_wid952","mvbart_pehe1","mvbart_pehe2","mvbart_bias1","mvbart_bias2","mvbart_ate1","mvbart_ate2","mvbart_crmse1","mvbart_crmse2","mvbart_atesq1","mvbart_atesq2","mvbart_crps1","mvbart_crps2","mvbart_cov501","mvbart_cov951","mvbart_cov502","mvbart_cov952","mvbart_wid501","mvbart_wid951","mvbart_wid502","mvbart_wid952","mvbcf_ate_l951","mvbcf_ate_u951","mvbcf_ate_l952","mvbcf_ate_u952","mvbcf_ate_l501","mvbcf_ate_u501","mvbcf_ate_l502","mvbcf_ate_u502","mvbcf_ate_wid951","mvbcf_ate_wid952","mvbcf_ate_wid501","mvbcf_ate_wid502","mvbcf_ate_cov951","mvbcf_ate_cov952","mvbcf_ate_cov501","mvbcf_ate_cov502","bcf_ate_l951","bcf_ate_u951","bcf_ate_l952","bcf_ate_u952","bcf_ate_l501","bcf_ate_u501","bcf_ate_l502","bcf_ate_u502","bcf_ate_wid951","bcf_ate_wid952","bcf_ate_wid501","bcf_ate_wid502","bcf_ate_cov951","bcf_ate_cov952","bcf_ate_cov501","bcf_ate_cov502","bart_ate_l951","bart_ate_u951","bart_ate_l952","bart_ate_u952","bart_ate_l501","bart_ate_u501","bart_ate_l502","bart_ate_u502","bart_ate_wid951","bart_ate_wid952","bart_ate_wid501","bart_ate_wid502","bart_ate_cov951","bart_ate_cov952","bart_ate_cov501","bart_ate_cov502","mvbart_ate_l951","mvbart_ate_u951","mvbart_ate_l952","mvbart_ate_u952","mvbart_ate_l501","mvbart_ate_u501","mvbart_ate_l502","mvbart_ate_u502","mvbart_ate_wid951","mvbart_ate_wid952","mvbart_ate_wid501","mvbart_ate_wid502","mvbart_ate_cov951","mvbart_ate_cov952","mvbart_ate_cov501","mvbart_ate_cov502"
1,100,1,1,"L'Ecuyer-CMRG","10407_317200966_-183608609_-331475888_-286302502_-854727955_-608024097","10407_329312609_1836843925_-1481558119_-156903236_-989007769_556931653",1633862081,1449797267,1148116180,770139550,2023472530,182793871,724080941,22.193,1.927,1.97799999999999,0.762999999999998,0.545000000000002,78.223,1,NA,"fb82a854dd37","not-a-git-build","bbd3d4119dab4c61438d29ca56ae93a0","confirmatory",122.405,12.0255399863919,10.041689080364,9.47060123575439,-2.57880399634085,29.4778420838268,17.4651615106796,144.613611964311,100.835519586702,89.6922877666726,6.65023005154351,7.12040516598349,6.27180124650892,0.588,1,0.709,1,22.0610655637294,66.3717437502169,23.9865337572372,68.5117871621548,15.6280808672069,9.71973296109872,14.1181021013473,-1.29447455411086,34.1253429494197,18.7494909529096,244.236911591958,94.473208835069,199.320806944067,1.67566437124051,9.15444450847082,6.24022337599684,0.391,1,0.766,1,23.7480995908794,70.1053468065299,24.7576585600287,71.1084298325565,16.083721679389,11.0805749190644,14.387147719659,-3.3035963808222,34.3943885677313,16.7403691261982,258.686103060047,122.779140536998,206.990019507288,10.9137490473815,9.60377258900572,7.3825461880302,0.61,1,0.805,1,31.4257241054905,93.3331182145259,29.8019277304809,90.8082794716678,15.3976269683816,12.1623169406824,13.927514473082,-3.57896499392276,33.9347553211543,16.4650005130977,237.086916257431,147.921953365611,193.975659397908,12.8089904277246,9.69384959616196,8.46421832703349,0.723,1,0.837,1,35.5916850811258,109.379508041525,34.5843780773382,109.119191330978,3.24727141747898,57.5874262200174,-8.10789138892654,48.4922036787514,20.514485442985,39.05748874549,5.96605368723186,26.1185303413509,54.3401548025385,56.600095067678,18.543003302505,20.152476654119,1,1,0,1,6.42910570654615,62.3454532614468,-10.9634307385003,45.6176869267886,24.9974818852612,42.7221050177375,9.41597060861662,28.9102293927355,55.9163475549007,56.5811176652889,17.7246231324763,19.4942587841189,1,1,0,1,7.42580176279807,61.4261241285564,-9.36731726059168,49.8185695424864,23.993456010312,44.7067260102433,6.51529851924792,26.5793570423971,54.0003223657583,59.185886803078,20.7132699999312,20.0640585231492,1,1,0,1,1.31738003381332,70.9230163915367,-16.2620225528291,45.9177714714628,22.3679333845938,44.3343067150513,6.46853720279377,26.6647647194252,69.6056363577234,62.1797940242919,21.9663733304575,20.1962275166314,1,1,0,1
0,100,1,1,"L'Ecuyer-CMRG","10407_1280795612_-169270483_-442010614_-603558397_-222347416_1489374793","10407_4246464_-231956060_-471632796_1620595781_533443421_594164961",1347349907,135150516,1633862081,1449797267,1148116180,770139550,2023472530,22.024,1.98,1.983,0.884999999999998,0.539999999999999,80.562,1,NA,"fb82a854dd37","not-a-git-build","bbd3d4119dab4c61438d29ca56ae93a0","confirmatory",125.6,10.8352981651527,33.2611595621353,7.2360320266986,-32.1313627048425,27.2846320128832,-11.905568014704,117.403686327762,1106.30473541782,52.3601594914078,1032.42446927014,6.45525989359984,24.4920610123599,0.662,1,0,0.374,21.7267562190866,63.2502728665257,18.2405983952267,55.8276453053068,13.6659074911036,33.202975038881,10.9060304977447,-32.0335540957766,30.9546304839293,-11.8077594056381,186.7570275554,1102.43755143256,118.941501217737,1026.14858800704,7.89418154637321,23.3407990752661,0.481,0.998,0.001,0.458,21.4876762891602,62.0026741034132,21.3248486236534,65.4231060405851,12.4847749703059,35.1576853071573,8.33967663745153,-33.971318117227,28.3882766236361,-13.7455234270885,155.869606059176,1236.0628361571,69.5502064172549,1154.05045462183,7.64141220841424,24.1043618620041,0.694,1,0.002,0.711,26.9253221217117,81.6622974831803,24.5372821777483,76.3538032947155,15.0842979096561,33.7342492194509,6.06030483233262,-32.1260418538107,26.1089048185172,-11.9002471636722,227.536043427256,1137.99957040002,36.7272946607941,1032.0825651928,8.9476487761415,21.6430791328299,0.684,1,0.043,0.846,30.4958197992662,91.3267324489254,29.662425057418,88.8783878385888,2.81865555065534,53.7927595400311,-33.7622399858269,11.6863741396471,17.8025138774871,36.5260519608522,-19.7167289766157,-4.67817899921349,50.9741039893758,45.4486141254739,18.7235380833651,15.0385499774023,1,0,1,0,6.4232166613899,53.8439896445308,-39.7439240298906,13.1245017979715,23.1736845872264,38.9030934189653,-20.3247169657994,-2.53365503331982,47.4207729831408,52.8684258278621,15.7294088317389,17.7910619324796,1,0,0,0,3.11680164325342,54.6004547632171,-37.0493147705421,11.7619972931079,20.148714594202,36.5195131853754,-21.8305541785282,-5.30263305746132,51.4836531199637,48.81131206365,16.3707985911734,16.5279211210669,1,0,0,0,2.16622430441926,49.3674043681337,-39.2268326718798,12.8433935331795,17.7953238715235,33.9942414463219,-20.8652711934671,-2.31798047880146,47.2011800637145,52.0702262050593,16.1989175747984,18.5472907146656,1,0,1,0
3,100,1,1,"L'Ecuyer-CMRG","10407_-511514910_-134072324_1410877824_13941577_-1418397719_153036302","10407_-231953774_1244116782_1524766476_592516651_-1021781877_-606144084",2023472530,182793871,724080941,2026674238,1128624330,1798078536,1388908720,23.264,1.82500000000002,1.91200000000001,0.538999999999987,0.569999999999993,79.992,1,NA,"fb82a854dd37","not-a-git-build","bbd3d4119dab4c61438d29ca56ae93a0","confirmatory",124.939,18.4492564749504,13.6851723374748,-16.7587866994178,-10.3410920689189,3.54244498975973,9.91095678953791,340.375064478501,187.283941906385,280.856931636582,106.938185177858,11.0109665238086,7.90450396307768,0.231,0.985,0.537,1,22.3385138971939,62.3884616846334,22.4371198086045,65.0319262793408,15.7592437049991,13.5789790319726,-13.7566248815902,-10.1008142314032,6.54460680758729,10.1512346270536,248.353762153554,184.38867155075,189.244728132787,102.026448137317,9.15857356238607,7.84814272977122,0.353,1,0.536,1,21.2184947830141,65.0990178057818,22.1607152808159,67.6329999470864,16.4518840932684,15.9918222553742,-14.2370126884751,-12.8052395000665,6.06421900070239,7.4468093583903,270.664490218338,255.738379047482,202.692530291801,163.974158654064,9.58145927102997,9.26754757094759,0.449,1,0.512,1,26.548683960607,82.0431702315099,25.0474054455606,76.0298152625198,15.4207467614572,16.4655876371666,-13.1950818284028,-13.1224371842059,7.10614986077471,7.1296116742509,237.799430680992,271.115576237213,174.110184458246,172.19835765343,9.25819753796906,9.65429941508814,0.552,1,0.527,1,28.5268177493985,91.8588528746337,27.8504428953456,90.4720646547717,-22.2484726029294,28.9477385017949,-16.8263422185895,37.2861653542927,-6.4059209803791,13.2801597389127,0.700594514562279,19.6521795229546,51.1962111047243,54.1125075728822,19.6860807192918,18.9515850083923,1,1,0,0,-21.3517708170158,32.6838239714853,-20.7921084845964,38.1888327016699,-1.62421314417089,14.934332163247,1.46719820231801,20.1035974552005,54.0355947885011,58.9809411862663,16.5585453074179,18.6363992528825,1,1,0,0,-21.0582680468903,31.9804585607574,-18.493445678432,31.6980651276198,-3.41611953027621,15.1766673773202,-1.81029921701052,17.041568623632,53.0387266076477,50.1915108060518,18.5927869075964,18.8518678406426,1,1,0,0,-21.6762605073936,35.0661285100528,-23.5541650814042,38.263173018467,-2.28745331742308,17.7679407367524,-2.50518662168936,16.6467009581332,56.7423890174464,61.8173380998713,20.0553940541754,19.1518875798225,1,1,0,0
2,100,1,1,"L'Ecuyer-CMRG","10407_867834292_352478644_-1119136754_1704148475_1755264716_1803175825","10407_1370565445_1959603947_-1976511073_2043163430_1388275052_-1975245106",1148116180,770139550,2023472530,182793871,724080941,2026674238,1128624330,23.145,1.79499999999999,1.78999999999999,0.871999999999986,0.545999999999992,81.77,1,NA,"fb82a854dd37","not-a-git-build","bbd3d4119dab4c61438d29ca56ae93a0","confirmatory",125.381,14.5990251907521,17.3059624076044,11.7890626998109,14.7429008633994,31.736608056382,34.5095698267612,213.131536520214,299.496334853417,138.981999340073,217.353125868022,8.48689427204969,10.239160631806,0.478,0.999,0.329,0.932,22.5983034006994,67.0102618873166,19.8669963515222,56.7264271210972,22.6324813495471,19.0251842138293,21.0814422468276,16.398247352277,41.0289876033986,36.1649163156387,512.229212037597,361.957634370139,444.427207206326,268.902516226458,13.599193885107,11.2357438097943,0.196,0.99,0.341,0.903,27.2022617880332,76.6393705368724,22.0767851203851,61.3382838653489,15.5756921138416,19.4823493264661,12.9048197463951,16.9696902573186,32.8523651029662,36.7363592206804,242.602184825186,379.561935278454,166.534372686949,287.970387429335,9.37876139482439,11.4471671819396,0.549,1,0.319,0.963,29.4523276528006,93.923031918503,23.0868500277295,69.6437097708002,14.1892908802709,19.3201994008438,10.4003777265468,16.6088101116475,30.3479230831178,36.3754790750093,201.335975684939,373.270104888367,108.16785685485,275.852573324765,8.8631950539066,11.1865991327988,0.679,1,0.392,0.999,31.6440946463118,97.3396089177672,25.6472961768934,81.2241542009362,3.39667209720239,61.7780171320422,12.4661400603948,58.8026249946364,22.2569419618895,40.8887254964466,26.5065419021389,43.0067942286934,58.3813450348398,46.3364849342416,18.631783534557,16.5002523265546,1,1,0,0,10.5911584376545,72.7479836548197,14.2782371926878,60.8197022163229,30.0797741295896,52.1926732652335,26.5442992038076,45.5027418491762,62.1568252171652,46.5414650236351,22.1128991356439,18.9584426453686,1,1,0,0,8.44369646916213,62.6259737229459,17.726907950258,57.7913198840202,23.6898268091175,42.2306461932274,28.2697962748437,44.218385086002,54.1822772537838,40.0644119337622,18.5408193841099,15.9485888111582,1,1,0,0,0.632128506828113,60.6347809554764,10.9658055800732,61.6006707797083,20.6468527232815,39.8157260209133,27.7343721354249,44.7283713297803,60.0026524486483,50.634865199635,19.1688732976318,16.9939991943555,1,1,0,0
5,100,1,1,"L'Ecuyer-CMRG","10407_2140642938_1563565364_-1827039471_-657429381_-1902684196_1643449727","10407_-1458173120_152434298_1298396829_1302792000_904019114_-138228196",1128624330,1798078536,1388908720,1962033086,770472194,426466080,669292254,23.082,1.87100000000004,1.858,0.936000000000035,0.551999999999964,76.572,1,NA,"fb82a854dd37","not-a-git-build","bbd3d4119dab4c61438d29ca56ae93a0","confirmatory",121.129,11.9669036546093,11.32650402829,-8.01740671326036,6.68918216542652,12.220308709955,27.0611255641113,143.206783078701,128.289693502869,64.2788104058323,44.7451580422602,6.96817710368776,6.74141710541211,0.583,0.999,0.642,1,21.3379561549397,63.3756229517483,22.1568271547899,67.0608735875013,11.3480850666444,14.48274863515,-7.37629672538247,10.5583200335992,12.8614186978329,30.930263432284,128.779034679798,209.750008028939,54.4097533808882,111.478121931902,6.6579538218718,8.41931653240078,0.607,1,0.571,1,21.3046701005639,61.1698105546728,25.102343523306,75.7826777570139,12.472262026687,11.8568535675799,-8.08461442966297,4.60753965546496,12.1531009935524,24.9794830541497,155.557320062339,140.584976523032,65.3609904763147,21.2294216766822,7.42856344972582,7.81808532863217,0.622,1,0.803,1,24.3334827609846,74.0637610571067,31.2305329132824,93.9572273000139,15.016033974535,12.9728400809739,-10.3571527130355,4.91513825498036,9.88056271017992,25.2870816536651,225.48127632439,168.294579766522,107.270612321138,24.1585840655714,8.95623725337928,8.4207786434654,0.663,1,0.781,1,30.2848860645389,91.7658843993514,33.363210917177,99.2939977428116,-13.0385929873706,37.3972764523284,-1.18876572841784,55.7176292214588,2.78126943373779,20.4906449203037,17.8561669359884,36.0729558896826,50.435869439699,56.9063949498766,17.7093754865659,18.2167889536941,1,1,1,1,-11.027671877994,37.8059918416657,-0.137562914046474,61.699108348406,4.2011314801873,21.3027170404435,20.4830297340093,41.8136899784665,48.8336637196596,61.8366712624525,17.1015855602562,21.3306602444573,1,1,1,0,-13.3652653709365,36.6199567775783,-2.81585863888607,57.9234385581407,3.63075151962086,20.237534382741,13.4261660162284,34.9938992225378,49.9852221485148,60.7392971970268,16.6067828631201,21.5677332063095,1,1,0,1,-18.2627999090856,37.8462415580308,-5.17776880246338,56.97996247254,0.505736520879984,18.587217712662,14.6197176604338,35.605827981974,56.1090414671163,62.1577312750034,18.081481191782,20.9861103215402,1,1,0,1
4,100,1,1,"L'Ecuyer-CMRG","10407_1737061553_1363840520_253860105_1487780069_279118839_1295390014","10407_-140622389_1871732937_-1109849893_-1524679440_262062070_1546911046",724080941,2026674238,1128624330,1798078536,1388908720,1962033086,770472194,22.812,1.77999999999997,2.36400000000003,0.56899999999996,0.52600000000001,74.991,1,NA,"fb82a854dd37","not-a-git-build","bbd3d4119dab4c61438d29ca56ae93a0","confirmatory",118.377,7.69248139257378,11.4523040771185,-2.12067391383367,-7.06977963523352,18.3201356072148,13.1434138346323,59.1742699750938,131.155268674785,4.4972578488146,49.9817840907625,5.25918450210211,7.20886536386846,0.823,1,0.717,1,21.5261240621802,66.1075359830486,26.5479625784666,81.4587681031186,8.11797531430627,17.0439668020716,4.73431270890977,-14.3817186042326,25.1751222299582,5.83147486563314,65.9015232036859,290.496804350119,22.4137168257446,206.833830011331,5.88835999066831,9.9183574909975,0.899,1,0.491,1,26.7440716959929,76.1658123871919,29.4374196778401,80.6310398108028,8.66406528059874,14.2403023350814,1.16470380364851,-9.94518132053933,21.6055133246969,10.2680121493264,75.0660271864765,202.786210594525,1.35653495023331,98.9066314984044,7.07379116657109,8.79510966504808,0.956,1,0.689,1,33.276895748472,99.7148776580629,31.2490425949994,93.8567096035671,9.16502639878377,15.3192878851895,0.679495170701927,-12.3757936965771,21.1203046917503,7.83739977328871,83.9977088904034,234.680581309315,0.46171368700724,153.160269620236,7.86528025979837,9.48085607379759,0.967,1,0.639,1,36.9958113165803,113.266236187013,33.241394097477,104.727896041753,-7.38807627835776,44.7019240396158,-22.6703215392826,47.6562331355542,9.68812542485715,26.2881313578109,0.986946587241834,25.1263909237478,52.0900003179736,70.3265546748368,16.6000059329537,24.139444336506,1,1,1,1,-3.31965644562927,58.8732985698368,-27.0448022732242,39.2550584052188,13.6947866167226,35.4902327709677,-7.73596711412003,19.3093388127105,62.1929550154661,66.299860678443,21.7954461542451,27.0453059268306,1,1,1,0,-11.2899143474312,49.7962013798016,-20.7825377235693,38.2820608333908,10.9305501044263,33.1946277746623,-0.239876169867036,21.3831120235836,61.0861157272329,59.0645985569601,22.264077670236,21.6229881934506,1,1,1,1,-12.7655953032119,58.0450325113387,-25.6238121156164,42.2893763455902,8.56441847991767,33.7745868974463,-4.56805488649614,20.1343776810739,70.8106278145506,67.9131884612067,25.2101684175286,24.70243256757,1,1,1,0
7,100,1,1,"L'Ecuyer-CMRG","10407_20162980_-721634564_-1187797575_1094781427_-1251010545_615610851","10407_-1977785839_302263154_205591861_2055377487_-1288152732_558902298",770472194,426466080,669292254,1246006427,993192616,1957863983,306052803,22.489,1.80799999999999,1.77300000000002,0.548000000000002,0.51400000000001,73.09,1,NA,"fb82a854dd37","not-a-git-build","bbd3d4119dab4c61438d29ca56ae93a0","confirmatory",117.902,16.0889871378698,9.90423801841761,-13.8227529854219,4.01424715240876,6.37121694752766,24.2693345087941,258.855507122541,98.0939307254687,191.068500095991,16.1141802006218,9.415834749271,5.89583608451683,0.326,0.991,0.652,1,20.3374145493397,60.6855178779984,20.02866537091,57.6204561036365,12.0973870510991,11.6869116710951,-9.0912621068572,7.61339728441664,11.1027078260924,27.868484640802,146.346773464101,136.583904407978,82.6510466955775,57.9638182103627,7.10375645360637,6.8914494527595,0.596,1,0.594,1,22.33628718192,67.5776176429873,21.5439194658273,66.6662645822258,15.7688374574352,11.2473114640441,-13.6502233048174,6.17752909550743,6.54374662813218,26.4326164518928,248.656234759011,126.502015169218,186.32859627138,38.1618657258409,9.21026390366189,7.05568168208386,0.451,1,0.738,1,25.1820242336698,73.713482181099,25.8092345742669,80.121777554759,15.355170127492,11.420356083708,-12.9315675124765,6.61000679088426,7.26240242047309,26.8650941472696,235.781249644221,130.424533078686,167.225438329737,43.6921897755361,9.17511699991434,7.51148781514663,0.566,1,0.768,1,28.7506494354494,87.203831466692,28.8591004201442,91.6320812658746,-16.849414622965,34.2718290032348,0.316900919019376,47.9012202750831,-2.69105347835891,14.4464930092247,15.9599785365532,32.7422965194169,51.1212436261998,47.5843193560637,17.1375464875836,16.7823179828636,1,1,0,1,-17.6913581046342,39.174326043033,-1.06193620701919,54.1784086418753,1.29631078140502,20.1314641761265,18.9226357519224,36.8061148968225,56.8656841476672,55.2403448488945,18.8351533947215,17.8834791449001,1,1,0,1,-16.1150484670669,32.3677437699944,2.30379687508308,51.8347445234092,-1.50174704367085,14.8572845378821,17.5585743373725,35.7963460585581,48.4827922370613,49.5309476483261,16.3590315815529,18.2377717211856,1,1,0,1,-20.1447778037823,35.8381769164756,0.73145654128318,52.6558148614433,-1.92905247923065,15.7959300027086,17.5680846916717,36.006768613259,55.9829547202579,51.9243583201602,17.7249824819393,18.4386839215874,1,1,0,1
6,100,1,1,"L'Ecuyer-CMRG","10407_-1330235318_-772609931_-304698503_1250240036_1621737985_655707894","10407_546656983_-2133810495_-304682807_2110991356_-1179673656_1721033211",1388908720,1962033086,770472194,426466080,669292254,1246006427,993192616,22.704,1.81900000000002,1.85599999999999,0.605000000000018,0.810000000000002,73.695,1,NA,"fb82a854dd37","not-a-git-build","bbd3d4119dab4c61438d29ca56ae93a0","confirmatory",118.293,9.5989986139723,14.4288516957292,5.64768117562336,11.4298615583461,26.0611450825626,31.8382619025701,92.140774391042,208.191761257348,31.8963026614904,130.641735242957,5.99543861384172,8.31094325182723,0.77,1,0.498,0.998,23.2392656992928,65.228734660113,22.9157798577365,63.1621541541719,9.40624972355788,16.1440483175441,5.54553774438591,13.3687553490598,25.9590016513252,33.7771556932838,88.4775338619327,260.630296079199,30.7529888744088,178.723619583016,6.21038521645259,9.41140616348986,0.825,1,0.382,0.955,25.7278259498215,74.4155060409904,19.2721915803236,58.1419906535927,9.7336736234025,14.1217215982631,5.42358488364685,10.1168779202798,25.8370487905861,30.5252782645038,94.7444022069215,199.42302089885,29.4152729901226,102.351218853845,6.60462587677177,8.22277342674355,0.825,1,0.56,0.998,27.0623784898856,81.5298016159656,23.78143550438,73.3920694188191,10.4670572985008,10.7640158814733,5.95020459373912,5.30899765692011,26.3636685006784,25.7173980011441,109.559288490098,115.86403789661,35.4049347073541,28.1854561211832,6.93265846632877,6.62421811560238,0.781,1,0.653,1,25.340618977511,85.2269851210704,21.8472178024709,73.2606673087055,-1.54841967827466,51.6768089498958,4.58003225866118,56.5211294580561,15.9884907267318,36.0155561355632,21.1315443831305,42.9058373309676,53.2252286281704,51.9410971993949,20.0270654088314,21.7742929478371,1,1,1,0,-5.00673211093089,56.9386352561613,13.6350512541487,56.6764477284395,15.2020580246336,36.7713891878811,25.9121003938698,41.190962415309,61.9453673670922,43.0413964742908,21.5693311632475,15.2788620214393,1,1,1,0,-0.256006901649278,53.8204602232053,4.63002995215976,58.2082411087766,16.423790559927,34.9588681139372,21.6358369657057,39.4942104202654,54.0764671248546,53.5782111566168,18.5350775540101,17.8583734545597,1,1,1,0,-0.700788377642114,57.3633133435968,-1.85438595144975,53.0065959609524,15.5286066199086,36.2777803496068,17.6071082260637,33.815852452563,58.0641017212389,54.8609819124022,20.7491737296982,16.2087442264993,1,1,1,1
9,100,1,1,"L'Ecuyer-CMRG","10407_-1000796894_733587919_-976648753_778808739_-647043831_2143123806","10407_1715965349_-1668066907_-1569972281_1804390585_-157976461_1985965737",993192616,1957863983,306052803,281523895,704938330,1660956479,818288558,22.868,1.88999999999999,2.27200000000005,0.585000000000036,0.548999999999978,78.226,1,NA,"fb82a854dd37","not-a-git-build","bbd3d4119dab4c61438d29ca56ae93a0","confirmatory",121.875,15.6214316855292,12.2168118137127,13.2630637405152,-8.65472463972277,32.9253765959798,11.1120311921277,244.029127905655,149.250490891669,175.908859784968,74.9042585894244,9.08707696918645,7.13067764693043,0.339,0.999,0.602,1,20.2062932345936,63.332389816367,22.9507337637487,65.606770730604,19.1714685235239,10.7763495638286,17.2314809463742,-6.61365046382216,36.8937938018388,13.1531053680283,367.545205348467,116.129709921829,296.923935605256,43.7403724576151,11.4210825788135,6.62078387676341,0.223,0.98,0.709,1,21.7246005198279,66.6460618181331,24.3872172622064,69.8502921696206,16.0662237821638,11.1174908646104,12.1156503581241,-7.27828051180272,31.7779632135888,12.4884753200478,258.123546618565,123.598603124696,146.788983600314,52.9733672084873,9.36930045272099,7.18285851250138,0.575,1,0.748,1,28.8979495390477,85.4600181841407,27.8042660710472,84.5286581120198,16.1768643531926,10.3442028296622,10.9387648811714,-5.36019101993869,30.6010777366361,14.4065648119118,261.690940301592,107.002532181192,119.656577125549,28.7316477702313,9.58202918615619,7.60662682907918,0.575,1,0.884,1,29.6329024140604,93.2138884050259,33.0029937405262,100.573159648985,8.91065669788261,57.6364970792605,-15.4936966869993,38.0295894733303,25.6187007760274,40.5178795327426,1.25827886547904,21.5410144506981,48.7258403813778,53.5232861603296,14.8991787567152,20.282735585219,1,1,0,1,9.68785251491043,61.9320339324307,-16.9103191312019,41.8763645841179,28.4524201470699,45.6369996068083,2.42431460495424,24.170258730929,52.2441814175203,58.7866837153198,17.1845794597384,21.7459441259747,1,1,0,1,6.4779350973895,58.4844160907613,-13.5546250786014,40.8913754417711,22.2075319968133,41.5394565431497,3.54180482053142,20.9883084100488,52.0064809933718,54.4460005203726,19.3319245463364,17.4465035895174,1,1,0,1,4.10129650772308,55.2534386896664,-17.5632771439813,43.9689970197185,22.1751024711264,39.5391042247262,4.10727732296324,25.00155285742,51.1521421819433,61.5322741636998,17.3640017535998,20.8942755344568,1,1,0,1
8,100,1,1,"L'Ecuyer-CMRG","10407_1954001047_1149305384_-1262444753_-494109330_1384220953_-967452355","10407_638368900_-2076246503_-98614474_647403642_-1058965914_2003382492",669292254,1246006427,993192616,1957863983,306052803,281523895,704938330,24.455,2.03999999999996,1.80400000000009,0.56899999999996,0.552999999999997,79.509,1,NA,"fb82a854dd37","not-a-git-build","bbd3d4119dab4c61438d29ca56ae93a0","confirmatory",124.678,8.49970292459176,21.9743748870215,1.9624526203289,-20.0830995546823,21.6576198885769,-0.666064011845557,72.2449498063137,482.87315167536,3.85122028703577,403.33088772328,5.55019991144408,13.8691901003775,0.767,1,0.157,0.711,21.7565290922677,66.3060377740078,19.7917857107041,55.9065199253084,9.69326606268455,19.0112704973336,4.45991083899444,-16.7824467850967,24.1550781072424,2.63458875774001,93.9594069619919,361.428405922786,19.8908046917801,281.650520094604,6.39140694226416,11.5101054798235,0.809,1,0.256,0.862,25.9043359500524,77.0049202714975,19.1605762580855,56.2260180451718,9.992639968244,18.8504808589091,2.73104988579021,-16.5783689158112,22.4262171540382,2.83866662702554,99.8528535349475,355.340628612098,7.45863347867474,274.842315908735,6.68320139681085,11.0735379410939,0.825,1,0.367,0.991,27.1004370463704,81.3964071646155,23.7586514832303,69.0838617016321,8.94064494928716,20.1436007486522,1.99876137680024,-18.060561089588,21.6939286450482,1.35647445324871,79.935132109214,405.764651121101,3.9950470413884,326.183866870741,6.63437421415537,11.979862031536,0.911,1,0.25,0.99,29.3031900252633,89.8679607145328,21.1746218513504,72.0923888806001,-6.83192699440699,47.841555624651,-26.0945497329774,22.3095388824675,12.5658108740618,31.5862682240427,-8.87789652475185,7.63167604697065,54.673482619058,48.4040886154449,19.0204573499809,16.5095725717225,1,1,1,0,-4.66037564878797,57.7012136385724,-19.4402825925155,22.8428606970433,13.2561939352801,34.5286675900094,-4.62382118300079,9.90831109587464,62.3615892873604,42.2831432895588,21.2724736547293,14.5321322788754,1,1,1,0,-3.6119879046758,47.2518542661705,-20.4597352338625,26.3424240119658,12.771867705246,31.2747192003775,-4.75350385155258,10.8366658250892,50.8638421708463,46.8021592458283,18.5028514951315,15.5901696766417,1,1,1,0,-7.52539258776897,49.3776257122701,-22.5485968825167,24.9528839063198,11.115626461999,31.6435135836353,-5.75157393528863,9.06017882200583,56.903018300039,47.5014807888365,20.5278871216363,14.8117527572945,1,1,1,0
